"","Animal","Cage","Strain","Genotype","Age","Assay","Values","Feeding","Treatment","HFD","Rapamycin","Weight"
"120","C57BL/6J-EarTag #188",137773,"C57BL/6J","+/+",70,"Body Weight",25120,"fed","Control Diet",FALSE,FALSE,25.12
"121","C57BL/6J-EarTag #189",137773,"C57BL/6J","+/+",70,"Body Weight",26430,"fed","Control Diet",FALSE,FALSE,26.43
"122","C57BL/6J-EarTag #190",137773,"C57BL/6J","+/+",70,"Body Weight",26220,"fed","Control Diet",FALSE,FALSE,26.22
"123","C57BL/6J-EarTag #191",137773,"C57BL/6J","+/+",70,"Body Weight",26580,"fed","Control Diet",FALSE,FALSE,26.58
"124","C57BL/6J-EarTag #1191",137773,"C57BL/6J","+/+",70,"Body Weight",27920,"fed","Control Diet",FALSE,FALSE,27.92
"125","C57BL/6J-EarTag #192",137768,"C57BL/6J","+/+",70,"Body Weight",22800,"fed","Control Diet",FALSE,FALSE,22.8
"126","C57BL/6J-EarTag #193",137768,"C57BL/6J","+/+",70,"Body Weight",27360,"fed","Control Diet",FALSE,FALSE,27.36
"127","C57BL/6J-EarTag #194",137768,"C57BL/6J","+/+",70,"Body Weight",24400,"fed","Control Diet",FALSE,FALSE,24.4
"128","C57BL/6J-EarTag #196",137768,"C57BL/6J","+/+",70,"Body Weight",22180,"fed","Control Diet",FALSE,FALSE,22.18
"129","C57BL/6J-EarTag #200",137768,"C57BL/6J","+/+",70,"Body Weight",26180,"fed","Control Diet",FALSE,FALSE,26.18
"130","C57BL/6J-EarTag #201",137772,"C57BL/6J","+/+",70,"Body Weight",26430,"fed","Control Diet",FALSE,FALSE,26.43
"131","C57BL/6J-EarTag #202",137772,"C57BL/6J","+/+",70,"Body Weight",24870,"fed","Control Diet",FALSE,FALSE,24.87
"132","C57BL/6J-EarTag #203",137772,"C57BL/6J","+/+",70,"Body Weight",24700,"fed","Control Diet",FALSE,FALSE,24.7
"133","C57BL/6J-EarTag #204",137772,"C57BL/6J","+/+",70,"Body Weight",25330,"fed","Control Diet",FALSE,FALSE,25.33
"134","C57BL/6J-EarTag #205",137772,"C57BL/6J","+/+",70,"Body Weight",26060,"fed","Control Diet",FALSE,FALSE,26.06
"135","C57BL/6J-EarTag #183",137767,"C57BL/6J","+/+",71,"Body Weight",22600,"fasted","Control Diet",FALSE,FALSE,22.6
"422","C57BL/6J-EarTag #184",137767,"C57BL/6J","+/+",71,"Body Weight",21800,"fasted","Control Diet",FALSE,FALSE,21.8
"524","C57BL/6J-EarTag #185",137767,"C57BL/6J","+/+",71,"Body Weight",23300,"fasted","Control Diet",FALSE,FALSE,23.3
"810","C57BL/6J-EarTag #186",137767,"C57BL/6J","+/+",71,"Body Weight",24700,"fasted","Control Diet",FALSE,FALSE,24.7
"910","C57BL/6J-EarTag #187",137767,"C57BL/6J","+/+",71,"Body Weight",20300,"fasted","Control Diet",FALSE,FALSE,20.3
"161","C57BL/6J-EarTag #189",137773,"C57BL/6J","+/+",71,"Body Weight",23800,"fasted","Control Diet",FALSE,FALSE,23.8
"171","C57BL/6J-EarTag #190",137773,"C57BL/6J","+/+",71,"Body Weight",24000,"fasted","Control Diet",FALSE,FALSE,24
"1810","C57BL/6J-EarTag #191",137773,"C57BL/6J","+/+",71,"Body Weight",23500,"fasted","Control Diet",FALSE,FALSE,23.5
"1910","C57BL/6J-EarTag #1191",137773,"C57BL/6J","+/+",71,"Body Weight",25000,"fasted","Control Diet",FALSE,FALSE,25
"2010","C57BL/6J-EarTag #188",137773,"C57BL/6J","+/+",71,"Body Weight",22800,"fasted","Control Diet",FALSE,FALSE,22.8
"2610","C57BL/6J-EarTag #192",137768,"C57BL/6J","+/+",71,"Body Weight",25000,"fasted","Control Diet",FALSE,FALSE,25
"2710","C57BL/6J-EarTag #193",137768,"C57BL/6J","+/+",71,"Body Weight",24800,"fasted","Control Diet",FALSE,FALSE,24.8
"2810","C57BL/6J-EarTag #194",137768,"C57BL/6J","+/+",71,"Body Weight",21700,"fasted","Control Diet",FALSE,FALSE,21.7
"2910","C57BL/6J-EarTag #196",137768,"C57BL/6J","+/+",71,"Body Weight",19300,"fasted","Control Diet",FALSE,FALSE,19.3
"3010","C57BL/6J-EarTag #200",137768,"C57BL/6J","+/+",71,"Body Weight",23600,"fasted","Control Diet",FALSE,FALSE,23.6
"3110","C57BL/6J-EarTag #201",137772,"C57BL/6J","+/+",71,"Body Weight",24200,"fasted","Control Diet",FALSE,FALSE,24.2
"3210","C57BL/6J-EarTag #202",137772,"C57BL/6J","+/+",71,"Body Weight",22800,"fasted","Control Diet",FALSE,FALSE,22.8
"3310","C57BL/6J-EarTag #203",137772,"C57BL/6J","+/+",71,"Body Weight",22600,"fasted","Control Diet",FALSE,FALSE,22.6
"3410","C57BL/6J-EarTag #204",137772,"C57BL/6J","+/+",71,"Body Weight",22900,"fasted","Control Diet",FALSE,FALSE,22.9
"3510","C57BL/6J-EarTag #205",137772,"C57BL/6J","+/+",71,"Body Weight",23800,"fasted","Control Diet",FALSE,FALSE,23.8
"4110","C57BL/6J-EarTag #206",137771,"C57BL/6J","+/+",71,"Body Weight",22100,"fasted","High Fat Diet",TRUE,FALSE,22.1
"423","C57BL/6J-EarTag #207",137771,"C57BL/6J","+/+",71,"Body Weight",21600,"fasted","High Fat Diet",TRUE,FALSE,21.6
"431","C57BL/6J-EarTag #208",137771,"C57BL/6J","+/+",71,"Body Weight",23300,"fasted","High Fat Diet",TRUE,FALSE,23.3
"441","C57BL/6J-EarTag #209",137771,"C57BL/6J","+/+",71,"Body Weight",21100,"fasted","High Fat Diet",TRUE,FALSE,21.1
"5010","C57BL/6J-EarTag #210",137769,"C57BL/6J","+/+",71,"Body Weight",21700,"fasted","High Fat Diet",TRUE,FALSE,21.7
"5110","C57BL/6J-EarTag #211",137769,"C57BL/6J","+/+",71,"Body Weight",22500,"fasted","High Fat Diet",TRUE,FALSE,22.5
"525","C57BL/6J-EarTag #212",137769,"C57BL/6J","+/+",71,"Body Weight",21800,"fasted","High Fat Diet",TRUE,FALSE,21.8
"531","C57BL/6J-EarTag #215",137769,"C57BL/6J","+/+",71,"Body Weight",22000,"fasted","High Fat Diet",TRUE,FALSE,22
"621","C57BL/6J-EarTag #216",137770,"C57BL/6J","+/+",71,"Body Weight",22000,"fasted","High Fat Diet",TRUE,FALSE,22
"631","C57BL/6J-EarTag #217",137770,"C57BL/6J","+/+",71,"Body Weight",20700,"fasted","High Fat Diet",TRUE,FALSE,20.7
"641","C57BL/6J-EarTag #218",137770,"C57BL/6J","+/+",71,"Body Weight",21500,"fasted","High Fat Diet",TRUE,FALSE,21.5
"651","C57BL/6J-EarTag #219",137770,"C57BL/6J","+/+",71,"Body Weight",24700,"fasted","High Fat Diet",TRUE,FALSE,24.7
"661","C57BL/6J-EarTag #220",137774,"C57BL/6J","+/+",71,"Body Weight",21800,"fasted","High Fat Diet",TRUE,FALSE,21.8
"671","C57BL/6J-EarTag #221",137774,"C57BL/6J","+/+",71,"Body Weight",23700,"fasted","High Fat Diet",TRUE,FALSE,23.7
"681","C57BL/6J-EarTag #222",137774,"C57BL/6J","+/+",71,"Body Weight",22500,"fasted","High Fat Diet",TRUE,FALSE,22.5
